card_uid,user_name,user_id,last_log_date,total_reads
FA E9 58 81,Ian Walker,941544783,24.06.2025 12:34,5
36 10 BB 4A,Michael Scott,241262666,24.06.2025 11:13,3
43 42 0D BF,Julia Hall,421197553,24.06.2025 14:36,5
68 DB FB 0D,Charlie Davis,111459683,24.06.2025 13:24,2
01 CF 2D 8C,Hannah Young,199466513,24.06.2025 17:03,5
CA 53 09 A8,Diana Miller,447486132,24.06.2025 14:00,1
D4 1C 12 66,Edward Wilson,626863727,24.06.2025 12:59,1
D6 97 71 AF,John Doe,462471352,24.06.2025 18:01,6
9C 3E D7 82,George Lewis,963875978,24.06.2025 15:49,5
5D AE 56 23,Kevin Allen,427987280,24.06.2025 10:23,5
25 16 6E F4,Laura King,826651243,24.06.2025 11:37,5
78 EE 24 A5,Bob Brown,776905990,24.06.2025 15:28,1
39 53 80 78,Fiona Clark,626233423,24.06.2025 15:04,2
75 E6 08 67,Jane Smith,548566656,24.06.2025 13:30,3
0B 46 98 25,Mert ELDEMIR,220201019,24.06.2025 13:17,5
