card_uid,user_name,user_id,last_log_date,total_reads
D4 1C 12 66,Edward Wilson,626863727,29.07.2023 18:06,5
CA 53 09 A8,Diana Miller,447486132,29.07.2023 13:56,6
F4 AF 38 D7,Samuel Turner,717503901,29.07.2023 10:56,2
D6 97 71 AF,John Doe,462471352,29.07.2023 16:08,6
51 A4 B4 4B,Alice Johnson,893925354,29.07.2023 15:19,2
75 E6 08 67,Jane Smith,548566656,29.07.2023 18:46,3
2B 9C 6B 39,Ahsen YENISEY,220201014,29.07.2023 10:16,1
68 DB FB 0D,Charlie Davis,111459683,29.07.2023 12:49,3
78 EE 24 A5,Bob Brown,776905990,29.07.2023 13:00,5
36 10 BB 4A,Michael Scott,241262666,29.07.2023 13:53,5
43 42 0D BF,Julia Hall,421197553,29.07.2023 11:11,2
39 53 80 78,Fiona Clark,626233423,29.07.2023 13:37,1
01 CF 2D 8C,Hannah Young,199466513,29.07.2023 13:38,1
5D AE 56 23,Kevin Allen,427987280,29.07.2023 11:51,6
