card_uid,user_name,user_id,last_log_date,total_reads
01 CF 2D 8C,Hannah Young,199466513,30.04.2025 16:58,4
36 10 BB 4A,Michael Scott,241262666,30.04.2025 10:35,3
39 53 80 78,Fiona Clark,626233423,30.04.2025 15:05,4
68 DB FB 0D,Charlie Davis,111459683,30.04.2025 15:29,4
D6 97 71 AF,John Doe,462471352,30.04.2025 15:24,1
25 16 6E F4,Laura King,826651243,30.04.2025 11:51,1
F4 AF 38 D7,Samuel Turner,717503901,30.04.2025 16:17,2
51 A4 B4 4B,Alice Johnson,893925354,30.04.2025 13:55,1
43 42 0D BF,Julia Hall,421197553,30.04.2025 15:27,1
FA E9 58 81,Ian Walker,941544783,30.04.2025 18:42,2
0B 46 98 25,Mert ELDEMIR,220201019,30.04.2025 18:31,1
