card_uid,user_name,user_id,last_log_date,total_reads
68 DB FB 0D,Charlie Davis,111459683,14.04.2023 17:37,3
25 16 6E F4,Laura King,826651243,14.04.2023 15:53,1
FA E9 58 81,Ian Walker,941544783,14.04.2023 13:59,6
39 53 80 78,Fiona Clark,626233423,14.04.2023 11:16,5
0B 46 98 25,Mert ELDEMIR,220201019,14.04.2023 12:46,3
75 E6 08 67,Jane Smith,548566656,14.04.2023 12:17,1
43 42 0D BF,Julia Hall,421197553,14.04.2023 18:15,5
CA 53 09 A8,Diana Miller,447486132,14.04.2023 15:23,4
D4 1C 12 66,Edward Wilson,626863727,14.04.2023 10:29,4
D6 97 71 AF,John Doe,462471352,14.04.2023 16:12,4
78 EE 24 A5,Bob Brown,776905990,14.04.2023 17:59,4
5D AE 56 23,Kevin Allen,427987280,14.04.2023 17:03,5
36 10 BB 4A,Michael Scott,241262666,14.04.2023 12:20,6
F4 AF 38 D7,Samuel Turner,717503901,14.04.2023 11:27,2
