card_uid,user_name,user_id,last_log_date,total_reads
D6 97 71 AF,John Doe,462471352,21.02.2024 12:48,5
51 A4 B4 4B,Alice Johnson,893925354,21.02.2024 17:31,2
39 53 80 78,Fiona Clark,626233423,21.02.2024 13:02,3
01 CF 2D 8C,Hannah Young,199466513,21.02.2024 17:52,3
0B 46 98 25,Mert ELDEMIR,220201019,21.02.2024 16:15,6
CA 53 09 A8,Diana Miller,447486132,21.02.2024 12:20,1
43 42 0D BF,Julia Hall,421197553,21.02.2024 13:04,4
D4 1C 12 66,Edward Wilson,626863727,21.02.2024 18:47,5
25 16 6E F4,Laura King,826651243,21.02.2024 13:45,4
68 DB FB 0D,Charlie Davis,111459683,21.02.2024 15:12,2
