card_uid,user_name,user_id,last_log_date,total_reads
36 10 BB 4A,Michael Scott,241262666,09.09.2024 16:34,4
68 DB FB 0D,Charlie Davis,111459683,09.09.2024 17:56,2
FA E9 58 81,Ian Walker,941544783,09.09.2024 17:51,3
F4 AF 38 D7,Samuel Turner,717503901,09.09.2024 18:22,3
5D AE 56 23,Kevin Allen,427987280,09.09.2024 14:14,4
D6 97 71 AF,John Doe,462471352,09.09.2024 13:34,4
01 CF 2D 8C,Hannah Young,199466513,09.09.2024 10:39,2
51 A4 B4 4B,Alice Johnson,893925354,09.09.2024 17:58,4
39 53 80 78,Fiona Clark,626233423,09.09.2024 18:27,3
43 42 0D BF,Julia Hall,421197553,09.09.2024 15:20,4
