card_uid,user_name,user_id,last_log_date,total_reads
78 EE 24 A5,Bob Brown,776905990,04.06.2024 13:56,1
01 CF 2D 8C,Hannah Young,199466513,04.06.2024 14:01,5
36 10 BB 4A,Michael Scott,241262666,04.06.2024 13:22,4
FA E9 58 81,Ian Walker,941544783,04.06.2024 17:17,3
D6 97 71 AF,John Doe,462471352,04.06.2024 17:18,2
0B 46 98 25,Mert ELDEMIR,220201019,04.06.2024 12:02,5
5D AE 56 23,Kevin Allen,427987280,04.06.2024 11:43,2
CA 53 09 A8,Diana Miller,447486132,04.06.2024 13:51,6
39 53 80 78,Fiona Clark,626233423,04.06.2024 11:37,1
D4 1C 12 66,Edward Wilson,626863727,04.06.2024 17:24,2
