card_uid,user_name,user_id,last_log_date,total_reads
01 CF 2D 8C,Hannah Young,199466513,06.04.2024 14:44,4
36 10 BB 4A,Michael Scott,241262666,06.04.2024 15:50,3
5D AE 56 23,Kevin Allen,427987280,06.04.2024 13:14,6
51 A4 B4 4B,Alice Johnson,893925354,06.04.2024 16:07,6
FA E9 58 81,Ian Walker,941544783,06.04.2024 17:22,6
68 DB FB 0D,Charlie Davis,111459683,06.04.2024 15:26,1
2B 9C 6B 39,Ahsen YENISEY,220201014,06.04.2024 13:05,6
25 16 6E F4,Laura King,826651243,06.04.2024 14:29,4
9C 3E D7 82,George Lewis,963875978,06.04.2024 10:20,5
75 E6 08 67,Jane Smith,548566656,06.04.2024 12:49,2
CA 53 09 A8,Diana Miller,447486132,06.04.2024 16:23,5
D6 97 71 AF,John Doe,462471352,06.04.2024 17:37,2
