card_uid,user_name,user_id,last_log_date,total_reads
01 CF 2D 8C,Hannah Young,199466513,31.12.2023 12:49,3
25 16 6E F4,Laura King,826651243,31.12.2023 12:00,5
78 EE 24 A5,Bob Brown,776905990,31.12.2023 13:22,6
CA 53 09 A8,Diana Miller,447486132,31.12.2023 12:46,3
2B 9C 6B 39,Ahsen YENISEY,220201014,31.12.2023 11:49,6
9C 3E D7 82,George Lewis,963875978,31.12.2023 18:36,2
5D AE 56 23,Kevin Allen,427987280,31.12.2023 16:06,1
43 42 0D BF,Julia Hall,421197553,31.12.2023 18:08,2
39 53 80 78,Fiona Clark,626233423,31.12.2023 14:43,5
68 DB FB 0D,Charlie Davis,111459683,31.12.2023 17:53,1
75 E6 08 67,Jane Smith,548566656,31.12.2023 15:47,2
