card_uid,user_name,user_id,last_log_date,total_reads
FA E9 58 81,Ian Walker,941544783,13.03.2023 17:47,2
25 16 6E F4,Laura King,826651243,13.03.2023 16:20,6
D4 1C 12 66,Edward Wilson,626863727,13.03.2023 10:00,4
68 DB FB 0D,Charlie Davis,111459683,13.03.2023 17:57,2
5D AE 56 23,Kevin Allen,427987280,13.03.2023 11:07,1
39 53 80 78,Fiona Clark,626233423,13.03.2023 10:58,5
2B 9C 6B 39,Ahsen YENISEY,220201014,13.03.2023 10:51,1
CA 53 09 A8,Diana Miller,447486132,13.03.2023 11:58,1
36 10 BB 4A,Michael Scott,241262666,13.03.2023 13:13,1
01 CF 2D 8C,Hannah Young,199466513,13.03.2023 14:07,3
D6 97 71 AF,John Doe,462471352,13.03.2023 17:44,3
