card_uid,user_name,user_id,last_log_date,total_reads
51 A4 B4 4B,Alice Johnson,893925354,24.07.2020 12:35,5
78 EE 24 A5,Bob Brown,776905990,24.07.2020 10:11,4
0B 46 98 25,Mert ELDEMIR,220201019,24.07.2020 11:25,1
39 53 80 78,Fiona Clark,626233423,24.07.2020 10:46,5
F4 AF 38 D7,Samuel Turner,717503901,24.07.2020 11:30,2
9C 3E D7 82,George Lewis,963875978,24.07.2020 15:55,3
36 10 BB 4A,Michael Scott,241262666,24.07.2020 15:37,1
D4 1C 12 66,Edward Wilson,626863727,24.07.2020 16:47,2
01 CF 2D 8C,Hannah Young,199466513,24.07.2020 11:25,6
25 16 6E F4,Laura King,826651243,24.07.2020 11:23,3
CA 53 09 A8,Diana Miller,447486132,24.07.2020 11:44,1
