card_uid,user_name,user_id,last_log_date,total_reads
CA 53 09 A8,Diana Miller,447486132,07.04.2022 14:17,4
F4 AF 38 D7,Samuel Turner,717503901,07.04.2022 12:21,4
D6 97 71 AF,John Doe,462471352,07.04.2022 17:21,4
39 53 80 78,Fiona Clark,626233423,07.04.2022 18:36,6
0B 46 98 25,Mert ELDEMIR,220201019,07.04.2022 18:32,2
D4 1C 12 66,Edward Wilson,626863727,07.04.2022 15:19,3
36 10 BB 4A,Michael Scott,241262666,07.04.2022 12:44,5
01 CF 2D 8C,Hannah Young,199466513,07.04.2022 14:31,3
75 E6 08 67,Jane Smith,548566656,07.04.2022 18:33,6
FA E9 58 81,Ian Walker,941544783,07.04.2022 18:46,4
